id,name,cooking-technique,course,time-cost,rating,ingredients,ingredient-categories,spicy,savory,bitter,sweet,sour,salty,K,saturated-fat,FE,sugar,dietary-fiber,protein,carb,cholesterol,CA,VA,trans-fat,energy,VC,fat,NA,numberOfServings
Tallarines-verdes_-Peruvian-style-pesto-556777,Tallarines verdes Peruvian-style pesto,boiling,Main Dishes,1800,4,spaghetti|purple onion|garlic cloves|spinach leaves|basil leaves|evaporated milk|fresh cheese|pecans|olive oil|salt|pepper|green beans|parmesan cheese,Pasta|Vegetables|Vegetables|Vegetables|Vegetables|Dairy|Dairy|Snack Foods|Condiments|Condiments|Condiments|Vegetables|Dairy,0,4,4,1,2,2,0.77,8.94,0.01,5.57,6.76,26.98,98.33,0.03,0.39,3926.78, ,785.82,0.02,33.27,0.53,4
Peruvian-Ceviche-My-Recipes,Peruvian Ceviche,drying,Lunch,3600,4,ono|purple onion|lime juice|salt|habanero chile|sauce|cilantro leaves|sweet potatoes|sweet corn|lettuce leaves,Seafood|Vegetables|Drinks|Condiments|Vegetables|Condiments|Vegetables|Vegetables|Vegetables|Vegetables,5,4,5,1,4,5,1.02,3.44,0.01,4.56,2.51,44.51,17.64,0.24,0.68,6867.1, ,428.28,0.04,19.06,1.2,4
Peruvian_style-Beef-Kebabs-With-Grilled-Onion-And-Zucchini-Epicurious,Peruvian-Style Beef Kebabs with Grilled Onion and Zucchini,drying,Main Dishes,5400,4,tenderloin roast|soy sauce|fresh lime juice|kosher salt|ground cumin|purple onion|olive oil|zucchini,Meat|Condiments|Fruit|Condiments|Condiments|Vegetables|Condiments|Vegetables,0,1,1,1,3,5,1.35,4.29,0.0,11.33,4.91,47.35,20.73,0.13,0.12,307.75, ,422.59,0.04,16.26,1.78,4
Peruvian-Steak-and-Potato-Stir-Fry-524434,Peruvian Steak and Potato Stir-Fry,frying,Main Dishes,2100,3,extra-virgin olive oil|ground cumin|ground coriander|garlic|salt|freshly ground pepper|skirt steak|purple onion|vegetable oil|french fri frozen|jalapeno chilies|large tomato|cilantro|hot sauce,Condiments|Condiments|Condiments|Vegetables|Condiments|Condiments|Meat|Vegetables|Condiments|Vegetables|Vegetables|Vegetables|Vegetables|Condiments,5,4,1,1,3,1,0.64,5.68,0.0,2.82,2.24,25.15,7.28,0.06,0.04,539.61,0.15,382.7,0.01,27.95,0.34,4
Peruvian_style-Beef-Kebabs-With-Grilled-Onion-And-Zucchini-Epicurious,Peruvian-Style Beef Kebabs with Grilled Onion and Zucchini,grilling,Main Dishes,5400,4,tenderloin roast|soy sauce|fresh lime juice|kosher salt|ground cumin|purple onion|olive oil|zucchini,Meat|Condiments|Fruit|Condiments|Condiments|Vegetables|Condiments|Vegetables,0,1,1,1,3,5,1.35,4.29,0.0,11.33,4.91,47.35,20.73,0.13,0.12,307.75, ,422.59,0.04,16.26,1.78,4
Peruvian_style-Beef-Kebabs-With-Grilled-Onion-And-Zucchini-Epicurious,Peruvian-Style Beef Kebabs with Grilled Onion and Zucchini,marinating,Main Dishes,5400,4,tenderloin roast|soy sauce|fresh lime juice|kosher salt|ground cumin|purple onion|olive oil|zucchini,Meat|Condiments|Fruit|Condiments|Condiments|Vegetables|Condiments|Vegetables,0,1,1,1,3,5,1.35,4.29,0.0,11.33,4.91,47.35,20.73,0.13,0.12,307.75, ,422.59,0.04,16.26,1.78,4
Tallarines-verdes_-Peruvian-style-pesto-556777,Tallarines verdes Peruvian-style pesto,sauteeing,Main Dishes,1800,4,spaghetti|purple onion|garlic cloves|spinach leaves|basil leaves|evaporated milk|fresh cheese|pecans|olive oil|salt|pepper|green beans|parmesan cheese,Pasta|Vegetables|Vegetables|Vegetables|Vegetables|Dairy|Dairy|Snack Foods|Condiments|Condiments|Condiments|Vegetables|Dairy,0,4,4,1,2,2,0.77,8.94,0.01,5.57,6.76,26.98,98.33,0.03,0.39,3926.78, ,785.82,0.02,33.27,0.53,4
